customer_id,first_name,last_name,email,password_mask,customer_segment,street,city,state_code,zipcode,country,latitude,longitude
51,Jessica,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,8344 Dewy Fawn Farms,Caguas,PR,725,Puerto Rico,18.22563362,-66.04745483
52,Mary,Lawson,XXXXXXXXX,XXXXXXXXX,Corporate,65 Silent Inlet,Chicago,IL,60622,EE. UU.,41.89083099,-87.63043213
53,Katherine,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,975 Honey Loop,Roswell,GA,30075,EE. UU.,34.05915451,-84.35758209
54,Mary,Olson,XXXXXXXXX,XXXXXXXXX,Home Office,7333 Cinder Way,Caguas,PR,725,Puerto Rico,18.02538109,-66.61508179
55,Janet,Farley,XXXXXXXXX,XXXXXXXXX,Home Office,6512 Middle Parade,Phoenix,AZ,85029,EE. UU.,33.81112289,-112.0818558
56,Mary,Kaiser,XXXXXXXXX,XXXXXXXXX,Consumer,7554 Stony Goose Crossing,Caguas,PR,725,Puerto Rico,18.1464901,-66.57675934
57,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,57 High Villas,Baltimore,MD,21229,EE. UU.,39.28894043,-76.60325623
58,Michael,Edwards,XXXXXXXXX,XXXXXXXXX,Consumer,4770 Blue Pines,Caguas,PR,725,Puerto Rico,18.22563362,-66.04745483
59,Douglas,James,XXXXXXXXX,XXXXXXXXX,Consumer,2306 Green Lane,Sunnyvale,CA,94086,EE. UU.,37.38236237,-122.0837021
60,Mary,Gutierrez,XXXXXXXXX,XXXXXXXXX,Home Office,8632 Bright Route,Webster,NY,14580,EE. UU.,37.77796936,-121.9719162
61,Margaret,Summers,XXXXXXXXX,XXXXXXXXX,Home Office,8963 Hidden Panda Meadow,Caguas,PR,725,Puerto Rico,18.1464901,-66.54896545
62,Mary,Oneal,XXXXXXXXX,XXXXXXXXX,Consumer,2659 Jagged Rabbit View,Brooklyn,NY,11223,EE. UU.,43.10412979,-77.1641922
63,Aaron,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,2265 Foggy Lagoon Bend,Caguas,PR,725,Puerto Rico,18.2275734,-66.04562378
64,Mary,Reynolds,XXXXXXXXX,XXXXXXXXX,Corporate,2407 Gentle Woods,Chicago,IL,60647,EE. UU.,41.91633987,-87.63731384
65,Jennifer,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,7126 Shady Bluff Promenade,Princeton,NJ,8540,EE. UU.,40.80894089,-74.0328598
66,Mary,Booth,XXXXXXXXX,XXXXXXXXX,Home Office,8824 Noble View Valley,Caguas,PR,725,Puerto Rico,18.21450234,-66.0867157
67,Samantha,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,7869 Wishing Anchor Court,Chicago,IL,60619,EE. UU.,29.50356865,-98.58555603
68,Mary,Oneal,XXXXXXXXX,XXXXXXXXX,Consumer,376 Silver Terrace,Peoria,AZ,85345,EE. UU.,33.09320068,-117.1668167
69,Megan,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,7796 Thunder Forest Villas,Caguas,PR,725,Puerto Rico,18.22368431,-66.04928589
70,Mary,Simmons,XXXXXXXXX,XXXXXXXXX,Corporate,5553 Cinder Harbour,Los Angeles,CA,90042,EE. UU.,33.73583221,-118.2922211
71,Charles,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,6140 Pleasant Dale Farm,Philadelphia,PA,19145,EE. UU.,34.08999252,-118.1542206
72,Frank,Gillespie,XXXXXXXXX,XXXXXXXXX,Consumer,5332 Heather Hills Isle,Vista,CA,92084,EE. UU.,33.29120636,-117.268959
73,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,8247 Little Cider Close,Caguas,PR,725,Puerto Rico,18.22758865,-66.0435791
74,Alice,Rush,XXXXXXXXX,XXXXXXXXX,Corporate,409 Iron Park,Jacksonville,NC,28540,EE. UU.,29.46871567,-98.35108948
75,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,1510 Broad Rise Expressway,Caguas,PR,725,Puerto Rico,18.22758102,-66.04356384
76,Joseph,Young,XXXXXXXXX,XXXXXXXXX,Consumer,7605 Tawny Horse Falls,Los Angeles,CA,90016,EE. UU.,34.04317856,-118.77948
77,Shirley,Dalton,XXXXXXXXX,XXXXXXXXX,Corporate,1021 Silver Log Cape,Caguas,PR,725,Puerto Rico,18.22769547,-66.04356384
78,Jeremy,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,2714 Dewy Bay,Parkville,MD,21234,EE. UU.,39.39559937,-76.54616547
79,Mary,Watkins,XXXXXXXXX,XXXXXXXXX,Consumer,1315 Honey Rabbit Link,Knoxville,TN,37922,EE. UU.,35.94585037,-84.09391022
80,Joe,Parsons,XXXXXXXXX,XXXXXXXXX,Corporate,3891 Broad Line,Caguas,PR,725,Puerto Rico,18.29124069,-66.04647064
81,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,8434 Honey Pines,Ithaca,NY,14850,EE. UU.,33.66726303,-118.0185242
82,Jonathan,Cook,XXXXXXXXX,XXXXXXXXX,Consumer,7885 Sleepy Cove,San Antonio,TX,78240,EE. UU.,32.87078095,-97.32335663
83,Mary,Wong,XXXXXXXXX,XXXXXXXXX,Corporate,8584 Lazy Via,Caguas,PR,725,Puerto Rico,18.25025749,-66.05857849
84,Douglas,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,6540 Emerald Turnabout,Tampa,FL,33624,EE. UU.,34.02510834,-117.9581146
85,Mary,Perez,XXXXXXXXX,XXXXXXXXX,Consumer,5104 Iron Log Limits,Caguas,PR,725,Puerto Rico,18.2276001,-66.0435791
86,John,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,8780 Colonial Orchard,Fort Worth,TX,76106,EE. UU.,32.858181,-97.35079193
87,Gloria,Brown,XXXXXXXXX,XXXXXXXXX,Corporate,3996 Crystal Zephyr Swale,Caguas,PR,725,Puerto Rico,18.22753716,-66.04358673
88,Mary,Henry,XXXXXXXXX,XXXXXXXXX,Corporate,7262 Cotton Arbor,Atlanta,GA,30318,EE. UU.,33.81022644,-84.41808319
89,Sean,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,9126 Wishing Expressway,Escondido,CA,92027,EE. UU.,33.13061142,-117.0632095
90,Mary,Hurley,XXXXXXXXX,XXXXXXXXX,Consumer,6640 Sunny Via,Caguas,PR,725,Puerto Rico,18.22756958,-66.04357147
91,Ashley,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,4515 Golden Manor,Spring,TX,77379,EE. UU.,32.87660599,-97.42926025
92,Alexander,Medina,XXXXXXXXX,XXXXXXXXX,Home Office,2805 Dewy Impasse,Caguas,PR,725,Puerto Rico,18.22757149,-66.04355621
93,Mary,Robbins,XXXXXXXXX,XXXXXXXXX,Corporate,456 Colonial Glen,Annapolis,MD,21401,EE. UU.,38.97633743,-76.49929047
94,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,921 Broad Chase,Caguas,PR,725,Puerto Rico,18.22758865,-66.04360199
95,Susan,Williams,XXXXXXXXX,XXXXXXXXX,Corporate,3587 Thunder Rise,Hyattsville,MD,20783,EE. UU.,33.35597992,-111.9122238
96,Virginia,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,6080 Blue Close,Caguas,PR,725,Puerto Rico,18.22753143,-66.04355621
97,Mary,Rhodes,XXXXXXXXX,XXXXXXXXX,Corporate,1463 Silver Mountain Gate,Phoenix,AZ,85008,EE. UU.,33.30079269,-112.0346222
98,William,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,4592 Grand Timber Ramp,Caguas,PR,725,Puerto Rico,18.22761917,-66.04356384
99,Betty,Munoz,XXXXXXXXX,XXXXXXXXX,Consumer,9761 Green Jetty,Las Vegas,NV,89123,EE. UU.,36.19867706,115.2630768
100,George,Barrett,XXXXXXXXX,XXXXXXXXX,Consumer,4110 Silent Pointe,Caguas,PR,725,Puerto Rico,18.22760201,-66.04357147
101,Mary,Briggs,XXXXXXXXX,XXXXXXXXX,Corporate,8342 Crystal Drive,Dorchester Center,MA,2124,EE. UU.,37.68590927,-120.9584427
102,Gregory,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,5393 Hidden Glade,Caguas,PR,725,Puerto Rico,18.22758102,-66.04357147
103,Mary,Williams,XXXXXXXXX,XXXXXXXXX,Corporate,4501 Cinder Dell,Broomfield,CO,80020,EE. UU.,37.6722908,-121.0311356
104,Debra,Wood,XXXXXXXXX,XXXXXXXXX,Home Office,8263 Harvest Estates,Saint Paul,MN,55112,EE. UU.,34.00076294,-117.8856812
105,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,8696 Fallen Cloud Circle,Caguas,PR,725,Puerto Rico,18.22756958,-66.0435791
106,Lauren,Freeman,XXXXXXXXX,XXXXXXXXX,Corporate,2783 Foggy Mews,Napa,CA,94558,EE. UU.,38.3181572,-122.2831039
107,Mary,Weaver,XXXXXXXXX,XXXXXXXXX,Consumer,1449 Amber Island,Caguas,PR,725,Puerto Rico,18.22764778,-66.04351807
108,Joshua,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,4587 Noble Zephyr Promenade,Bronx,NY,10462,EE. UU.,40.82836533,-73.86943054
109,Mary,Thompson,XXXXXXXXX,XXXXXXXXX,Corporate,8662 Clear Nectar Mall ,Caguas,PR,725,Puerto Rico,18.24751854,-66.02529907
110,David,Miranda,XXXXXXXXX,XXXXXXXXX,Corporate,1491 Little Robin Way,Beaverton,OR,97006,EE. UU.,45.49733353,-12.27056122
111,Frank,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,8736 Hazy River Manor,Caguas,PR,725,Puerto Rico,18.22766304,-66.04361725
112,Mary,Daniels,XXXXXXXXX,XXXXXXXXX,Consumer,9814 Blue Anchor Dell,Middletown,OH,45044,EE. UU.,40.97570038,-81.38883972
113,Patricia,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,2457 Blue Hills Heights,Caguas,PR,725,Puerto Rico,18.39907837,-66.11219788
114,Alice,Warner,XXXXXXXXX,XXXXXXXXX,Home Office,4566 Burning Deer Meadow,Bellflower,CA,90706,EE. UU.,33.84705353,-118.1272278
115,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,1613 Broad Beach,West Covina,CA,91790,EE. UU.,33.78466797,-118.0703735
116,John,Hill,XXXXXXXXX,XXXXXXXXX,Home Office,3996 Honey Grove Place,Caguas,PR,725,Puerto Rico,18.22759247,-66.04356384
117,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,6063 Golden Point,La Crosse,WI,54601,EE. UU.,43.81294251,-91.24305725
118,Katherine,Olson,XXXXXXXXX,XXXXXXXXX,Consumer,9530 Little Fox Towers,Ogden,UT,84404,EE. UU.,41.28277206,-112.1233444
119,Mary,Rosario,XXXXXXXXX,XXXXXXXXX,Consumer,5488 Thunder Fox Extension,Caguas,PR,725,Puerto Rico,18.22758293,-66.0435791
120,Nancy,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,7840 Umber Sky Villas,Bronx,NY,10461,EE. UU.,40.83703232,-73.8874054
121,Mary,Yoder,XXXXXXXXX,XXXXXXXXX,Corporate,3570 Crystal Cider Circuit,Caguas,PR,725,Puerto Rico,18.22760201,-66.04356384
122,Karen,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,7573 Cozy Goose Road,Cincinnati,OH,45238,EE. UU.,39.28849411,-84.3551178
123,Mary,Mann,XXXXXXXXX,XXXXXXXXX,Corporate,7676 Colonial Towers,Bend,OR,97701,EE. UU.,44.05973816,-12.13093758
124,Judy,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,911 Sleepy Cloud Carrefour,Caguas,PR,725,Puerto Rico,18.23832703,-66.02118683
125,Mary,Gallagher,XXXXXXXXX,XXXXXXXXX,Consumer,9831 Sunny Cloud Valley,Oxnard,CA,93030,EE. UU.,33.79024124,-118.2131653
126,Austin,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,852 Hazy Gate Circuit,Amarillo,TX,79109,EE. UU.,35.18864822,-101.8707352
127,Mary,Martin,XXXXXXXXX,XXXXXXXXX,Home Office,437 Cozy Log Range,Caguas,PR,725,Puerto Rico,18.22756958,-66.0435791
128,Rose,Lopez,XXXXXXXXX,XXXXXXXXX,Consumer,9557 Harvest Mews,Augusta,GA,30906,EE. UU.,33.45863342,-82.06613922
129,Crystal,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,3688 Thunder Prairie Heights,Caguas,PR,725,Puerto Rico,18.22755814,-66.04357147
130,Mary,Holland,XXXXXXXXX,XXXXXXXXX,Home Office,9897 Sunny Via,Aurora,IL,60504,EE. UU.,41.76407242,-88.21144104
131,Brenda,Cline,XXXXXXXXX,XXXXXXXXX,Consumer,8632 Bright Route,Methuen,MA,1844,EE. UU.,42.74373627,-71.16481781
132,Eric,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,1131 Cotton Grounds,Caguas,PR,725,Puerto Rico,18.24747658,-66.02528381
133,Mary,Lopez,XXXXXXXXX,XXXXXXXXX,Consumer,948 Thunder Gate Beach,Brooklyn,NY,11219,EE. UU.,40.70134354,-73.93914795
134,Donna,Gomez,XXXXXXXXX,XXXXXXXXX,Consumer,1690 Cinder Deer Chase,Brooklyn,NY,11224,EE. UU.,40.77700424,-73.31974793
135,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,9624 Hidden Villas,Caguas,PR,725,Puerto Rico,18.24753571,-66.0252533
136,Ryan,Griffin,XXXXXXXXX,XXXXXXXXX,Corporate,7897 Stony Thicket,Lynn,MA,1902,EE. UU.,42.43675232,-71.02326202
137,Jonathan,Perkins,XXXXXXXXX,XXXXXXXXX,Consumer,182 Bright Embers Cove,Broken Arrow,OK,74012,EE. UU.,35.8944664,-97.57640839
138,Mary,Dawson,XXXXXXXXX,XXXXXXXXX,Consumer,9544 Noble Spring Route,Caguas,PR,725,Puerto Rico,18.22758102,-66.04357147
139,Daniel,Maxwell,XXXXXXXXX,XXXXXXXXX,Home Office,9468 Red Corner,San Diego,CA,92104,EE. UU.,32.90361786,-117.0988388
140,Amanda,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,5712 Heather Rise,Caguas,PR,725,Puerto Rico,18.24760056,-66.02527618
141,Mary,Mcmahon,XXXXXXXXX,XXXXXXXXX,Consumer,1526 Broad Mountain Plaza,Brooklyn,NY,11203,EE. UU.,32.71671677,-116.997261
142,Heather,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,814 Jagged Cape,Opa Locka,FL,33055,EE. UU.,25.89972687,-80.25153351
143,Mary,Byrd,XXXXXXXXX,XXXXXXXXX,Corporate,7793 Round Oak Key,Caguas,PR,725,Puerto Rico,18.24760819,-66.02524567
144,David,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,8289 Stony Thicket,Bronx,NY,10462,EE. UU.,40.85263825,-73.87097931
145,Joan,Walters,XXXXXXXXX,XXXXXXXXX,Consumer,8314 Burning Circuit,Dayton,OH,45424,EE. UU.,39.76057816,-84.33821869
146,Amber,Mercado,XXXXXXXXX,XXXXXXXXX,Home Office,14 Dusty Lake Beach,Caguas,PR,725,Puerto Rico,18.21639633,-66.04169464
147,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,443 Jagged Lane,Hanover,PA,17331,EE. UU.,38.99187851,-76.87805176
148,Stephanie,Richards,XXXXXXXXX,XXXXXXXXX,Consumer,245 Lost Way,Caguas,PR,725,Puerto Rico,18.24758339,-66.02528381
149,Shirley,Mcclain,XXXXXXXXX,XXXXXXXXX,Home Office,9729 Emerald Pony Mount,Colton,CA,92324,EE. UU.,32.79872894,-116.9538727
150,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,5593 Indian Trail,Union,NJ,7083,EE. UU.,33.68896103,-117.9957428
151,Lisa,Shaw,XXXXXXXXX,XXXXXXXXX,Consumer,9772 Noble Prairie Quay,Richmond,TX,77469,EE. UU.,29.49446869,-98.58773041
152,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,8333 Red Passage,Caguas,PR,725,Puerto Rico,18.24757958,-66.0252533
153,Andrew,Marshall,XXXXXXXXX,XXXXXXXXX,Home Office,8428 Blue Prairie Farm,Hollywood,FL,33021,EE. UU.,36.67399597,-121.6583023
154,Emily,May,XXXXXXXXX,XXXXXXXXX,Corporate,6697 Thunder Dale Downs,Brandon,FL,33511,EE. UU.,27.88389015,-82.29720306
155,Brittany,Juarez,XXXXXXXXX,XXXXXXXXX,Consumer,1809 Lost Pine Ledge,Caguas,PR,725,Puerto Rico,18.24755478,-66.02526856
156,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,2291 Thunder Leaf Corners,Los Angeles,CA,90001,EE. UU.,38.30553055,-122.2734375
157,Catherine,Chan,XXXXXXXXX,XXXXXXXXX,Corporate,7125 Silent Expressway,Citrus Heights,CA,95610,EE. UU.,38.71068573,-121.2512665
158,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,5517 Jagged Hollow,Caguas,PR,725,Puerto Rico,18.24758339,-66.02528381
159,John,Love,XXXXXXXXX,XXXXXXXXX,Corporate,5002 High Bank,Corona,NY,11368,EE. UU.,32.64175415,-116.9799118
160,Ashley,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,3271 Amber Downs,Brooklyn,NY,11229,EE. UU.,40.66996765,-73.8603363
161,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,6889 Pleasant Mount,Hialeah,FL,33010,EE. UU.,25.81123352,-80.26307678
162,John,Garcia,XXXXXXXXX,XXXXXXXXX,Corporate,5452 Jagged Green,Caguas,PR,725,Puerto Rico,18.22757721,-66.04562378
163,Austin,Diaz,XXXXXXXXX,XXXXXXXXX,Consumer,6843 Dusty Log Edge,Rio Rancho,NM,87124,EE. UU.,35.2122879,-106.6566849
164,Mary,Carlson,XXXXXXXXX,XXXXXXXXX,Consumer,4527 Silent Fawn Wharf,Caguas,PR,725,Puerto Rico,18.24759102,-66.02528381
165,Joseph,Ewing,XXXXXXXXX,XXXXXXXXX,Consumer,7129 Fallen Trace,Antioch,CA,94509,EE. UU.,38.01698685,-121.7537537
166,Steven,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,2805 Indian Passage,Florissant,MO,63031,EE. UU.,38.58758164,-90.48303223
167,Stephanie,Rodriguez,XXXXXXXXX,XXXXXXXXX,Corporate,923 Little Bend,Columbus,OH,43228,EE. UU.,39.44782639,-84.18940735
168,Eric,Morris,XXXXXXXXX,XXXXXXXXX,Consumer,295 Quaking Timber By-pass,Caguas,PR,725,Puerto Rico,18.24754334,-66.02532196
169,Debra,Mccarthy,XXXXXXXXX,XXXXXXXXX,Corporate,3216 Rocky Centre,Bronx,NY,10466,EE. UU.,40.87149429,-73.87233734
170,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,1996 Easy Parade,Broomfield,CO,80020,EE. UU.,39.95042801,-105.1293259
171,Evelyn,Potter,XXXXXXXXX,XXXXXXXXX,Consumer,1661 Gentle Rabbit Turnabout,Caguas,PR,725,Puerto Rico,18.24751663,-66.02523804
172,Lauren,Rush,XXXXXXXXX,XXXXXXXXX,Home Office,6229 Indian Robin Parade,Chino,CA,91710,EE. UU.,34.00605393,-117.7307358
173,Jose,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,3493 High Apple Walk,Lombard,IL,60148,EE. UU.,34.06631851,-117.8853378
174,Mary,Perez,XXXXXXXXX,XXXXXXXXX,Home Office,6332 Round Range,Caguas,PR,725,Puerto Rico,18.1464901,-66.54896545
175,Ronald,Guzman,XXXXXXXXX,XXXXXXXXX,Home Office,8284 Pleasant Pine Villas,Los Angeles,CA,90042,EE. UU.,34.1137352,-118.1886444
